,law
0,"Avant leur entrée en fonction, ils prêtent serment devant la cour d’appel de Cotonou siégeant en audience solennelle, le serment dont la teneur suit : « Je jure solennellement de bien et fidèlement remplir ma fonction de membre de la Commission en charge de la protection des données à caractère personnel, en toute indépendance et impartialité de façon digne et loyale et de garder le secret des délibérations »."
0,Les agents recrutés par la Commission Nationale de l’Informatique et des Libertés prêtent serment devant le tribunal de première instance de Cotonou en ces termes : « Je jure de bien et loyalement remplir mes fonctions d’agent de la Commission en charge de la protection des données à caractère personnel en toute indépendance et impartialité et de garder le secret des délibérations ».
0,"Aucun membre de la Commission ne peut : - participer à une délibération ou procéder à des vérifications relatives à un organisme au sein duquel il détient un intérêt,     indirect, exerce des fonctions ou détient un mandat ; - participer à une délibération ou procéder à des vérifications relatives à un organisme au sein duquel il a, au cours des trente-six mois précédant la délibération ou les vérifications, détenu un intérêt direct ou indirect, exercé des fonctions ou détenu un mandat."
0,"Toutefois, en cas de faute grave dûment constatée de l’un des membres de la Commission ou de la perte de la qualité au titre de laquelle il a été élu ou désigné, il est mis fin à ses fonctions et procédé à son remplacement conformément aux dispositions de la présente loi et du règlement intérieur de la Commission."
0,Le mandat du successeur ainsi désigné est limité à la période restant à courir.
0,Ce dernier peut être désigné pour un seul mandat.
0,Ces crédits sont inscrits au budget de l’Etat.
0,La Commission peut recevoir des subventions de la part des organisations internationales dont l’Etat est membre et de tous autres organismes légalement constitués.
0,Elle peut également bénéficier de ressources propres issues de l’exercice de ses activités.
0,"Chaque année, elle présente au Président de la République et au Président de l’Assemblée Nationale, un rapport rendant compte de l’exécution de sa mission."
0,Ils doivent prendre toutes mesures utiles afin de lui faciliter sa mission.
0,L’avis demandé à la Commission qui n’est pas rendu à l’expiration du délai prévu à l’aliéna précédent est réputé favorable.
0,"A cet effet, ils ont accès, dans l’exercice de leurs missions, aux lieux, locaux, enceintes, installations ou établissements servant à la mise en œuvre d’un traitement de données à caractère personnel."
0,"En cas d’opposition du responsable des lieux ou du responsable du traitement, la visite ne peut se dérouler qu’avec l’autorisation du président du tribunal de première instance compétent ou du juge délégué par lui."
0,"A l’issue de la visite, il est dressé contradictoirement procès-verbal des vérifications et visites menées."
0,"Le procès-verbal est adressé, pour observations, à la Commission."
0,"Ces dispositions ne sont pas applicables si l’accès aux informations stockées dans l’équipement terminal de l’utilisateur ou l’inscription d’informations dans l’équipement terminal de l’utilisateur : - soit, a pour finalité exclusive de   ou   la communication par voie électronique ; - soit, est strictement nécessaire à la fourniture d’un service de communication en ligne à la demande expresse de l’utilisateur."
0,"Lorsque les données à caractère personnel n’ont pas été recueillies auprès de la personne concernée, le responsable du traitement ou son représentant doit fournir à cette dernière les informations énumérées à l’article 14 de la présente loi dès l’enregistrement des données ou, si une communication des données à des tiers est envisagée au plus tard lors de la première communication des données."
0,"Lorsque des données à caractère personnel ont été initialement recueillies pour un autre objet, les dispositions de l’alinéa précédent ne s’appliquent pas aux traitements nécessaires à la conservation de ces données à des fins historiques, statistiques ou scientifiques."
0,Ces dispositions ne s’appliquent pas non plus lorsque la personne concernée est déjà informée ou quand son information se révèle impossible ou exige des efforts disproportionnés par rapport à l’intérêt de la démarche.
0,Toute personne traitant des données à caractère personnel pour le compte du responsable du traitement est considérée comme un sous-traitant au sens de la présente loi.
0,Le sous-traitant doit présenter des garanties suffisantes pour assurer la mise en œuvre des mesures de sécurité et de confidentialité mentionnée au dernier alinéa du présent article.
0,Cette exigence ne décharge pas le responsable du traitement de son obligation de veiller au respect de ces mesures.
0,Le contrat liant le sous-traitant au responsable du traitement comporte l’indication des obligations incombant au sous-traitant en matière de protection de la sécurité et de la confidentialité des données et prévoit que sous-traitant ne peut agir   sur instruction du responsable du traitement.
0,Les traitements dont la finalité se limite à assurer la conservation à long terme de documents d’archives sont dispensés des formalités préalables à la mise en œuvre des traitements prévus par la présente loi.
0,"Il peut être procédé à un traitement ayant des finalités autres que celles mentionnées au premier alinéa : - soit, avec l’accord exprès de la personne concernée ; - soit, avec l’autorisation de la Commission Nationale de l’Informatique et des Libertés."
0,Elle peut également mettre en demeure le responsable de traitement de faire cesser le manquement   dans un délai fixé qui ne    excéder huit (08) jours.
0,"Ce rapport est notifié au responsable du traitement, qui peut faire des observations écrites ou orales et qui peut assister ou se faire représenter aux séances à l’issue desquelles la Commission statue."
0,Les décisions prises par la   sont motivées et notifiées    responsable du traitement.
0,"Lors du premier manquement, il ne peut excéder cinquante millions (50 000 000) de francs CFA."
0,"En cas de manquement réitéré dans les cinq (05) années à compter de la date à laquelle la sanction pécuniaire précédemment prononcée est devenue définitive, il ne peut excéder cent millions (100 000 000) de francs CFA ou, s’agissant d’une entreprise, cinq pour cent (5 %) du chiffre d’affaires hors taxes du dernier exercice clos dans la limite de cent millions (100 000 000) de francs CFA."
0,"Lorsque l'Autorité a prononcé une sanction pécuniaire devenue définitive avant que le juge pénal ait statué définitivement sur les mêmes faits ou des faits connexes, celui-ci peut ordonner que la sanction pécuniaire s’impute sur l’amende qu’il prononce."
0,"Ce rapport est notifié au responsable du traitement, qui peut faire des observations écrites ou orales dans un délai de quinze (15) jours dès la réception de la notification de l'Autorité et qui peut assister ou se faire représenter aux séances à l’issue desquelles l'Autorité statue."
0,Les décisions prises par l'Autorité sont motivées et notifiées au responsable du traitement.
0,La complicité et la tentative sont punies des mêmes peines.
0,"Si l’auteur de l’infraction au point 1 de l’article 460 procède ou fait procéder, par simple négligence, à des traitements de données à caractère personnel sans avoir respecté les formalités préalables à leur mise en œuvre telles que prescrites par les dispositions du présent Livre, seule une amende de cinq millions (5 000 000) à cinquante millions (50 000 000) de francs CFA peut lui être infligée."
0,Le tribunal peut ordonner l’effacement de tout ou partie des données à caractère personnel faisant l’objet du traitement ayant donné lieu à l’infraction.
0,Les décisions de condamnation devenues définitives prises en vertu de ce Chapitre sont publiées dans le Journal officiel de la République du Bénin ainsi que sur un support électronique aux frais du condamné.
0,"En cas de condamnation pour une des infractions prévues à l’article 460 du présent code, la juridiction de jugement peut prononcer des peines à titre complémentaire."
0,"Elle peut prononcer la confiscation des supports matériels des   à caractère personnel formant l'objet de l'infraction, tels que les fichiers manuels, disques et bandes magnétiques, à l'exclusion des ordinateurs ou de tout autre matériel, ou ordonner l'effacement de ces données ainsi que des sommes, avantages ou produits résultant de l’infraction et appartenant au condamné."
0,La confiscation ou l'effacement peuvent être ordonnés même si les supports matériels des données à caractère personnel n'appartiennent pas au condamné.
0,Les objets confisqués doivent être détruits lorsque la décision est passée en force de chose jugée.
0,"Sans préjudice des interdictions énoncées par des dispositions particulières, en cas de condamnation pour une des infractions prévues à l’article 460 du présent code, la juridiction de jugement peut prononcer l’interdiction à titre de peine complémentaire."
0,"Cette interdiction implique une interdiction de gérer, personnellement ou par personne interposée, et pour deux (02) ans au maximum, tout traitement de données à caractère personnel."
0,Toute infraction à l'interdiction édictée par l’alinéa 10 ou toute récidive relative aux infractions visées dans le présent Chapitre sont punies d'un emprisonnement d’un an (01) à dix (10) ans et d’une amende de dix millions (10 000 000) à cent millions (100 000 000) de francs CFA ou de l’une de ces deux peines  .
0,Le responsable de traitement ou son représentant sera passible du paiement des amendes encourues par son sous- traitant.
0,Elle exerce une mission de service public et ne reçoit d’instruction d’aucune autorité administrative et politique.
0,L'Autorité est dirigée par un Bureau de trois (03) membres.
0,"L'Autorité élit en son sein un Président, un vicePrésident et un Secrétaire."
0,"Le commissaire peut, dans les dix (10)   suivant une délibération, provoquer une seconde délibération."
0,"A la demande du Président, il est pourvu à son remplacement  par  sa  structure d’origine."
0,"Un  nouveau commissaire est nommé pour la période du mandat restant à courir, par décret pris en Conseil des Ministres."
0,"En cas de vacances dûment constatée du Président, le vice-Président assume provisoirement les fonctions de Président, conformément au Règlement intérieur."
0,La durée de l'exercice de ces fonctions intérimaires ne peut excéder une période de quatre-vingt- dix (90) jours.
0,Les agents recrutés par l'Autorité de protection des données à caractère Personnel prêtent serment devant le Tribunal de première instance de Cotonou en ces termes : « Je jure de bien et loyalement remplir mes fonctions d’agent de l'Autorité en charge de la protection des données à caractère personnel en toute indépendance et impartialité et de garder le secret des délibérations ».
0,Il fait périodiquement rapport devant l'Autorité réunie en séances administratives.
0,"Elle établit dans son Règlement intérieur, notamment, les règles relatives à l’instruction,   la présentation des dossiers, au traitement des plaintes et aux procédures contradictoires."
0,Il est publié au Journal officiel.
0,Elle décide à la majorité absolue.
0,"En cas de parité des voix, la voix du Président est prépondérante."
0,"Les membres de l'Autorité s'abstiennent de tout acte incompatible avec leurs fonctions et, pendant la durée de leur mandat, n'exercent aucune activité professionnelle incompatible, rémunérée ou non."
0,"Aucun membre de l'Autorité ne peut : participer à une délibération ou procéder à des vérifications relatives à un organisme au sein duquel il détient un intérêt, direct ou indirect, exerce des fonctions ou détient un mandat ; être présent lors de la délibération ou des vérifications sur les objets pour lesquels ils ont un intérêt personnel ou pour lesquels leurs parents ou alliés jusqu'au quatrième degré ont un intérêt personnel ; participer à une délibération ou procéder à des vérifications relatives à un organisme au sein duquel il a, au cours des trente-six   36) mois précédant la délibération ou les vérifications, détenu un intérêt direct ou indirect, exercé des fonctions ou détenu un mandat."
0,"Après la cessation de leurs fonctions, les membres de l'Autorité sont tenus de respecter les devoirs d'honnêteté et de délicatesse quant à l'acceptation de certaines fonctions ou de certains avantages."
0,"Toutefois, en cas de faute grave dûment constatée de l’un des membres de l'Autorité ou de la perte de la qualité au titre de laquelle il a été élu ou désigné, il est mis fin à ses fonctions et procédé à son remplacement conformément aux dispositions du présent Livre et du Règlement intérieur de l'Autorité."
0,Le mandat du successeur ainsi désigné est limité à la période restant à courir.
0,Ce dernier peut être désigné pour un seul mandat.
0,"Dans les limites de leurs attributions, le Président et les membres ne reçoivent d'instructions de personne."
0,Ils ne peuvent être relevés de leur charge en raison des opinions qu'ils émettent ou des actes qu'ils accomplissent pour remplir leurs fonctions.
0,"Le personnel de l'Autorité ainsi que les experts et agents assermentés sont soumis, y compris après cessation de leurs activités, à l'obligation de secret professionnel à l'égard de toute information confidentielle, fait ou acte dont ils ont eu connaissance dans l'exercice de leurs fonctions officielles."
0,La violation des alinéas 1 ou 2 est punie des peines prévues par les dispositions du code pénal relatives au secret des correspondances.
0,Ces crédits sont inscrits au budget de l’État.
0,L'Autorité peut recevoir des subventions de la part des organisations internationales dont l’Etat est membre et de tous autres organismes légalement constitués.
0,Elle peut également bénéficier de ressources propres issues de l’exercice de ses activités.
0,Les budgets doivent être rendus publics.
0,"Chaque année, elle présente au Président de la République et au Président de l’Assemblée nationale, un rapport rendant compte de l’exécution de sa mission."
0,Il doit être rendu public.
0,Elle veille à ce que les traitements des données à caractère personnel soient mis en œuvre conformément aux dispositions du présent Livre.
0,"À ce titre, l'Autorité est en charge : de répondre à toute   d’avis ou recommandation portant sur un traitement de données à caractère personnel ; d’émettre de sa propre initiative des avis motivés ou des recommandations sur toute question relative à l'application des principes fondamentaux de la protection de la vie privée dans le cadre du présent Livre, ainsi que des lois contenant des dispositions relatives à la protection de la vie privée à l'égard des traitements de données à caractère personnel ; d’informer les personnes concernées et les responsables de traitements de leurs droits et obligations ; d’autoriser ou refuser les traitements de fichiers dans un certain nombre de cas, notamment les fichiers sensibles ; de recevoir les formalités préalables à la création de traitements des données à caractère personnel et le cas échéant autoriser ces traitements ; de recevoir, par la voie postale ou par voie électronique, les réclamations, les pétitions et les plaintes relatives à la mise en œuvre des traitements des données à caractère personnel et informer leurs auteurs des suites données à celles-ci notamment si un complément  d’enquête ou une coordination avec une autre autorité de protection nationale est nécessaire ; d’effectuer, sans préjudice de toute action devant les tribunaux, des enquêtes, soit de sa propre initiative, soit à la suite d'une réclamation ou à la demande d'une autre Autorité de protection nationale, et informe la personne concernée, si elle l'a saisie d'une réclamation,   résultat de ses enquêtes dans un délai raisonnable ; d’informer sans délai l’autorité judiciaire pour certains types d’infractions dont elle a connaissance ; d’informer, sans délai, le procureur de la République, conformément aux dispositions du code de procédure pénale, des violations des dispositions du présent Livre, constitutives d’infractions pénales ; d'informer l’Assemblée nationale, le Gouvernement ou d'autres institutions politiques, ainsi que le public, de toute question relative à la protection des données à caractère personnel ; de conduire de fréquentes consultations avec des parties prenantes sur des questions que l'Autorité considère comme pouvant nuire à la protection effective des données à caractère personnel pour les services, les installations, les appareils ou les annuaires au titre du présent Livre ; de requérir des experts ou agents assermentés, en vue de participer à la mise en œuvre des missions de vérification portant sur tout traitement des données à caractère personnel sur le territoire de la République du Bénin ; de veiller au respect des autorisations et consultations préalables ; de prononcer la rectification, l'effacement ou la destruction de toutes les données lorsqu'elles ont été traitées en violation des dispositions du présent Livre et la notification de ces mesures aux tiers auxquels les données ont été divulguées; de demander au responsable du traitement ou au sous-traitant de satisfaire aux demandes d'exercice des droits prévus par les dispositions   présent Livre présentées par la personne concernée ; de prononcer des sanctions, administratives et pécuniaires, à l’égard des responsables de traitement ; de mettre à jour un répertoire des traitements des données à caractère personnel et à la disposition du public ; de surveiller les faits nouveaux présentant un intérêt, dans la mesure où ils ont une incidence sur la protection des données à caractère personnel, notamment l'évolution des technologies de l'information et des communications et celle des pratiques commerciales ; d’informer le responsable du traitement ou le sous-traitant d'une violation alléguée des dispositions régissant le traitement des données à caractère personnel et, le cas échéant, d’ordonner au responsable du traitement ou son sous-traitant de remédier à cette violation par des mesures déterminées, afin d'améliorer la protection de la personne concernée ; de conseiller les personnes physiques ou morales qui procèdent à des traitements des données à caractère personnel ou à des essais ou expériences de nature à aboutir à de tels traitements ; d’autoriser ou refuser des transferts transfrontaliers de données à caractère personnel vers des États tiers ; de sensibiliser le public aux risques, aux règles, aux garanties et aux droits relatifs au traitement des données à caractère personnel."
0,"Les activités destinées spécifiquement aux enfants, personnes âgées ou personnes gravement malades ou à tous ceux qui ne peuvent pas être en mesure de   la portée des activités qui leur sont proposées, font l'objet d'une attention particulière ; de faire des propositions de modifications législatives ou réglementaires susceptibles de simplifier et d’améliorer le cadre législatif et réglementaire à l’égard du traitement des données ; d’homologuer les codes de conduite et de recueillir et d’autoriser, le cas échéant, les projets, modifications ou prorogations desdits codes ; de mettre en place des mécanismes de coopération avec les autorités de protection des données à caractère personnel d’États tiers dont le partage d’informations et l’assistance mutuelle; de participer aux négociations internationales en matière de protection des données à caractère personnel."
0,L'accomplissement des formalités auprès de l'Autorité est gratuit pour la personne concernée.
0,"Lorsque les demandes sont manifestement excessives, en raison, notamment, de leur caractère répétitif, l'Autorité peut, néanmoins, exiger le paiement de frais ou ne pas prendre les mesures sollicitées par la personne concernée."
0,Il incombe à l'Autorité d'établir le caractère manifestement excessif de la demande.
0,"Afin de conserver certaines données particulièrement susceptibles de perte ou de modification et utiles à la manifestation de la vérité, l'Autorité peut demander au président du tribunal de première instance, que celles-ci soient conservées conformément à la procédure prévue à l’article 78 bis du code de procédure pénale."
0,Ils doivent prendre toutes mesures utiles afin de lui faciliter sa mission.
0,"À cet effet, ils ont accès, de six (06) heures à vingt-et-une (21) heures, dans l’exercice de leur mission, aux lieux, locaux, enceintes, installations ou établissements servant à la mise en œuvre d’un traitement de données à caractère personnel et qui sont à usage professionnel, à l’exclusion des parties de ceux- ci affectées au domicile privé."
0,Le procureur de la République territorialement compétent en est préalablement informé.
0,Le responsable de locaux professionnels privés est informé de son droit d’opposition à la visite.
0,"En cas d’opposition du responsable des lieux ou du responsable du traitement, la visite ne peut se dérouler qu’avec l’autorisation du président du Tribunal de première instance compétent ou du juge délégué par lui."
0,"Toutefois, lorsque l’urgence, la gravité des faits à l’origine du contrôle ou le risque de destruction ou de dissimulation de documents le justifie, la visite peut avoir lieu sans que le responsable des locaux en ait été informé, sur autorisation préalable du président du Tribunal de première instance compétent ou du juge délégué par lui."
0,"Dans ce cas, le responsable des lieux ne peut s’opposer à la visite."
0,"La   s’effectue sous l’autorité et le contrôle du président du Tribunal de première instance compétent ou du juge délégué par lui qui l’a autorisée, en présence de l’occupant des lieux ou de son représentant qui peut se faire assister d’un conseil de son choix ou, à défaut, en présence de deux témoins qui ne sont pas placés sous l’autorité des personnes chargées de procéder au contrôle."
0,L’acte ayant autorisé la visite est exécutoire au seul vu de la minute.
0,Il mentionne que le juge ayant autorisé la visite peut être saisit à tout moment d’une demande de suspension ou d’arrêt de cette visite.
0,Elle indique le délai et la voie de recours.
0,"Elle peut faire l’objet, suivant les règles prévues par le code de procédure civile, d’un appel."
0,Celui-ci connaît également des recours contre le déroulement des opérations de visite.
0,"Les membres de l'Autorité et les agents mentionnés au premier alinéa de l’article peuvent demander communication de tous documents nécessaires à l’accomplissement de leur mission, quel qu’en soit le support, et en prendre copie."
0,"Ils peuvent recueillir, sur place ou sur convocation, tout renseignement et toute justification utile."
0,"Ils peuvent accéder aux programmes informatiques et aux données, ainsi qu’en demander la transcription par tout moyen approprié dans des documents directement utilisables pour les besoins du contrôle."
0,"Ils peuvent,   la demande du Président de l'Autorité, être assistés par des experts désignés par l’autorité dont ceux-ci dépendent."
0,"Seul un professionnel des soins de santé peut requérir la communication de données médicales individuelles incluses dans un traitement nécessaire aux fins de la médecine préventive, de la recherche médicale, des diagnostics médicaux, de l’administration de soins ou de traitements, ou à la gestion de service de santé, et qui est mis en œuvre par un membre d’une profession de santé."
0,"À l’issue de la visite, il est dressé contradictoirement procès-verbal des vérifications et visites menées."
0,"Le procès-verbal est adressé, pour observations, à l'Autorité."
0,"Elles fixent également le cadre institutionnel, les règles et les modalités d’utilisation de la   en République du Bénin."
0,"Outre les cas déjà prévus à l’alinéa précédent, une personne morale peut être tenue pour responsable lorsque l’absence de surveillance ou de contrôle de la part d’une personne physique mentionnée à l’alinéa précédent a rendu possible l'Autorité des infractions prévues par les dispositions du présent Livre pour le compte de ladite personne morale par une personne physique agissant sous son autorité."
0,La responsabilité des personnes morales n’exclut pas celle des personnes physiques auteurs ou complices des mêmes faits.
0,"Les peines encourues par les personnes morales, pour les infractions visées au Titre I du présent Livre, sont les suivantes : une amende dont le montant maximum est égal au quintuple de celui prévu pour les personnes physiques par la loi qui réprime l’infraction ; la dissolution, lorsque la personne morale a été créée ou, lorsqu’il s’agit d’un crime ou d’un délit puni en ce qui concerne les personnes physiques d’une peine d’emprisonnement supérieure à cinq (05) ans, détournée de son objet pour commettre les faits incriminés ;  définitive ou pour une durée de cinq (05) ans au plus d’exercer directement ou indirectement une ou plusieurs activités professionnelles ou sociales ; la fermeture définitive ou pour une durée de cinq (05) ans au plus d’un ou de plusieurs des établissements de l’entreprise ayant servi à commettre les faits incriminés ; l’exclusion définitive des marchés publics ou pour une durée de cinq (05) ans au plus ; l’interdiction définitive ou pour une durée de cinq (05) ans au plus de faire appel public à  l’épargne ; l’interdiction pour une durée de cinq (05) ans au plus d’émettre des chèques autres que ceux qui permettent le retrait de fonds par le tireur auprès du tiré ou ceux qui sont certifiés ou d’utiliser des cartes de paiement ; la confiscation de la chose qui a servi ou était destinée à commettre l’infraction ou de la chose qui en est le produit ; Toute personne morale condamnée à l'une des peines ci-dessus énumérées a l'obligation d'afficher la décision prononcée ou de la diffuser par la presse écrite soit par tout moyen de communication au public par voie électronique."
0,"Les magistrats et les fonctionnaires  chargés de la  mise  en œuvre  de l'exercice de l'action  publique,  les autorités administratives mentionnées à l'article 595 du présent code pourraient requérir auprès des fournisseurs de services en ligne, conformément à la loi, la conservation et la protection de l'intégrité ainsi que la communication des données mentionnées au premier alinéa."
0,Les dispositions prévues au Livre V du présent code sont applicables au traitement de ces données.
0,"Pour les besoins du présent article, les activités d'opérateurs fournissant un accès à internet visées à l’alinéa 1er comprennent   le stockage automatique, intermédiaire et transitoire des informations transmises, pour autant que ce stockage serve exclusivement à l'exécution de la transmission sur le réseau de communications et que sa durée n'excède pas le temps raisonnablement nécessaire à la transmission."
0,"Les opérateurs fournissant un accès à internet informent leurs abonnés de l'existence de moyens techniques permettant de restreindre l'accès à certains services ou de les sélectionner, et leur proposent au moins un de ces moyens."
0,L'alinéa précédent ne s'applique pas lorsque le destinataire du service agit sous l'autorité ou le contrôle du fournisseur de services en ligne.
0,"Les fournisseurs de services en ligne ne peuvent voir leur responsabilité pénale engagée à raison des informations stockées à la demande d'un destinataire de leurs services s'ils n'avaient pas effectivement connaissance de l'activité ou de l'information illicites ou si, dès le moment où ils en ont eu connaissance, ils ont agi promptement   retirer ces informations ou en rendre l'accès impossible."
0,L'alinéa précédent ne s'applique pas lorsque le destinataire du service agit sous l'autorité ou le contrôle de la personne visée audit alinéa.
0,"Le fait, pour toute personne, de présenter à un fournisseur de services en ligne un contenu ou une activité comme étant illicite dans le but d'en obtenir le retrait ou d'en faire cesser la diffusion, alors qu'elle sait cette information inexacte, est puni d'un (1) an d'emprisonnement et d'une amende de cinq millions (5 000 000) de francs CFA."
0,Ils sont toutefois tenus à l'obligation de vigilance prévue à l'article 377 du présent code.
0,"Le précédent alinéa est sans préjudice de toute activité de surveillance ciblée et temporaire demandée par les services de police, de gendarmerie ou l'autorité judiciaire."
0,"A ce titre, ils doivent mettre en place un dispositif facilement accessible et visible permettant à toute personne de porter à leur connaissance les faits qui en   ."
0,"Elles ont également l'obligation, d'une part, d'informer promptement les autorités compétentes de toutes activités illicites mentionnées à l'alinéa précédent qui leur seraient signalées et qu'exerceraient les destinataires de leurs services, et, d'autre part, de rendre publics les moyens qu'elles consacrent à la lutte contre ces activités illicites."
0,"L'autorité judiciaire peut enjoindre, en référé ou sur requête, à tout fournisseur de services en ligne, et à défaut, à tout opérateur fournissant un accès à internet, toutes mesures propres à prévenir un dommage ou à faire cesser un dommage occasionné par le contenu d'un service en ligne."
0,"Les personnes éditant à titre non professionnel un service de communications au public en ligne peuvent ne tenir à la disposition du public, pour préserver leur anonymat, que le nom, la dénomination ou la raison sociale et l'adresse du fournisseur de services en ligne, sous réserve de lui avoir communiqué les éléments d'identification prévus au présent article."
0,"Les fournisseurs de services en ligne sont tenus à une obligation de confidentialité, pour tout ce qui concerne la divulgation de ces éléments d'identification ou de toute information permettant d'identifier la personne concernée."
0,"Cette obligation de confidentialité n'est pas opposable à l'autorité judiciaire, ni aux services d’enquête de police et de gendarmerie."
0,"Est puni d'un (1) an d'emprisonnement et de cinquante millions (50 000 000) de francs CFA d'amende le fait, pour une personne physique ou le dirigeant de droit ou de fait d'une personne morale exerçant l'activité d'éditeur de services de communications au public en ligne, de ne pas avoir respecté les prescriptions de l'article 501 du présent code."
0,"Aussi longtemps que les services de police et/ou judiciaires n'ont pas pris de décision concernant la copie, l'accessibilité et le retrait des données stockées, l’hébergeur peut uniquement prendre des mesures visant à empêcher l'accès à ces données ; ou l'hébergeur retire, rend l’accès impossible ou désactive promptement l'accès aux données après avoir reçu des services de police ou judiciaires, une injonction de retirer les données."
0,L’alinéa 1er ne s'applique pas lorsque le destinataire du service agit sous l'autorité ou le contrôle de l’hébergeur.
